Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Temp DD,Temp TD,Temp DE,Temp TE,Thermocouple,Peso,Velociade (Km/h)
81235,9.78,-0.46,-4.94,-1.03,-0.12,0.30,36.61,44.63,29.43,35.09,42.50,0.00
82410,9.57,-0.30,-5.48,-0.49,-0.05,0.11,36.37,50.47,29.45,34.33,0.00,0.00
83075,9.36,0.01,-5.52,0.01,-0.06,0.13,36.45,47.65,29.39,35.63,0.00,0.00
84243,9.62,0.34,-5.68,-0.19,0.09,0.04,37.03,47.43,29.35,34.75,0.00,0.00
85412,9.53,0.51,-5.26,0.01,0.02,0.02,37.75,53.07,29.25,35.01,0.00,0.00
86076,9.52,0.66,-5.11,0.02,0.04,0.04,38.05,53.25,29.39,35.43,nan,0.00
87244,9.87,1.17,-4.12,-0.09,-0.03,0.08,38.33,47.79,29.49,36.55,0.00,0.00
88411,9.66,0.87,-4.46,-0.79,-0.12,0.17,39.01,49.71,29.57,36.33,0.00,0.00
89084,9.47,0.59,-5.04,-0.98,-0.03,0.36,38.69,54.49,29.57,37.17,0.00,0.00
90252,8.90,0.16,-6.28,-0.93,-0.01,0.33,39.47,50.81,29.55,37.67,0.00,0.00
91421,9.22,0.22,-6.20,-0.33,-0.02,0.14,39.73,55.53,29.59,36.33,0.00,0.00
92589,9.07,-0.11,-6.56,-0.23,-0.02,0.06,39.37,50.91,29.39,37.51,0.00,0.00
93254,8.81,-0.20,-6.47,-0.04,0.01,0.03,39.81,52.05,29.37,38.09,0.00,0.00
94421,9.24,0.18,-5.96,-0.05,-0.00,0.03,39.95,58.23,29.45,36.95,0.00,0.00
95589,9.79,0.53,-4.47,-0.12,-0.12,0.09,40.43,54.01,29.31,38.61,0.00,0.00
96261,9.90,0.49,-3.97,-0.11,0.05,0.02,40.81,57.21,29.31,38.13,0.00,0.00
97430,9.98,0.67,-4.21,-0.65,-0.13,0.19,41.11,54.41,29.31,38.03,0.00,0.00
98598,10.06,0.63,-4.84,-1.06,-0.08,0.31,40.89,53.85,29.23,38.81,0.00,0.00
99263,10.09,0.55,-5.50,-0.93,-0.07,0.40,41.67,63.73,29.23,38.81,0.00,0.00
100430,9.79,0.39,-5.60,-0.16,0.04,0.14,41.39,62.91,29.29,39.63,0.00,0.00
101598,9.64,0.16,-6.10,-0.06,0.03,0.06,42.11,60.59,29.37,38.79,11.00,0.00
102262,9.79,0.84,-6.18,-0.18,0.02,-0.05,41.75,63.57,29.43,38.55,0.00,0.00
103450,9.53,0.95,-5.95,-0.09,-0.04,-0.02,42.51,63.63,29.49,39.13,0.00,0.00
104618,9.51,0.94,-5.10,-0.13,0.03,0.04,42.53,64.71,29.43,39.23,0.00,0.00
105283,9.56,0.98,-4.77,0.01,0.12,0.04,42.83,68.77,29.29,39.49,0.00,0.00
106457,9.75,0.99,-4.98,-0.48,-0.04,0.18,43.03,68.57,29.37,41.59,0.00,0.00
107625,9.88,0.89,-5.64,-1.03,-0.18,0.24,43.83,59.89,29.31,42.21,0.00,0.00
108792,9.35,0.27,-6.13,-1.05,0.10,0.20,43.41,70.07,29.35,41.75,0.00,0.00
109457,8.94,-0.23,-6.86,-0.59,-0.09,0.19,43.49,66.89,29.49,40.29,0.00,0.00
110633,8.33,-0.35,-7.84,-0.14,0.07,0.10,44.23,64.39,29.37,42.15,0.00,0.00
111802,7.84,-0.53,-7.45,-0.02,0.01,0.18,43.23,69.29,29.31,43.63,0.00,0.00
112466,7.58,-0.88,-7.31,-0.03,0.07,-0.00,43.93,63.35,29.23,42.89,0.00,0.00
113634,7.66,-0.51,-6.50,-0.06,-0.03,-0.15,44.87,63.77,29.23,41.67,0.00,0.00
114802,8.36,-0.21,-5.05,-0.12,-0.05,0.05,45.29,63.95,29.19,44.43,0.00,0.00
115467,8.48,-0.39,-5.14,-0.98,0.01,0.32,44.99,66.75,29.29,44.81,0.00,0.00
116635,8.88,-0.18,-5.21,-1.05,0.00,0.30,46.11,76.41,29.25,42.73,200.00,0.00
117811,9.05,0.16,-6.50,-1.12,0.05,0.18,44.85,65.41,29.25,43.73,0.00,0.00
118979,9.01,0.50,-6.23,0.04,-0.25,-0.01,45.69,63.29,29.23,44.73,0.00,0.00
119644,9.04,0.19,-6.28,-0.11,-0.11,-0.02,46.17,64.39,29.29,45.09,0.00,0.00
120811,8.54,0.06,-7.40,-0.05,0.05,0.16,47.31,67.49,29.25,45.37,0.00,0.00
121979,9.30,0.32,-6.28,-0.11,0.01,-0.01,48.05,77.31,29.23,46.23,0.00,0.00
122643,9.22,0.15,-6.23,-0.69,-0.10,0.22,47.67,66.55,29.17,45.83,0.00,0.00
123812,9.33,0.03,-5.60,-0.87,-0.01,0.25,48.81,80.07,29.43,46.63,0.00,0.00
124987,9.48,0.31,-6.38,-0.99,-0.08,0.37,48.89,67.89,29.37,44.97,0.00,0.00
125652,9.26,0.24,-6.98,-0.79,-0.06,0.23,49.25,82.99,29.43,47.15,0.00,0.00
126819,9.51,0.05,-5.58,-0.15,0.03,-0.04,48.17,73.23,29.29,44.97,0.00,0.00
127987,8.75,-0.16,-6.39,-0.00,0.12,0.05,49.19,83.89,29.19,46.99,52.00,0.00
128651,8.74,0.20,-5.69,-0.12,-0.01,-0.05,49.33,82.35,29.11,48.65,0.00,0.00
129820,9.13,-0.29,-4.74,-0.02,-0.04,0.03,48.77,72.75,29.17,48.41,0.00,0.00
130988,9.53,-0.34,-4.17,-0.74,-0.11,0.18,49.33,86.21,29.23,49.23,0.00,0.00
132164,9.62,-0.15,-4.89,-1.01,-0.14,0.27,50.19,72.97,29.25,48.77,0.00,0.00
132828,9.43,-0.12,-5.51,-0.99,-0.15,0.32,49.41,71.63,29.25,50.09,0.00,0.00
133996,9.76,-0.13,-5.03,-0.36,0.01,0.06,50.55,87.87,29.15,50.19,0.00,0.00
135163,9.95,0.07,-5.46,-0.12,-0.01,0.01,51.39,87.11,29.23,50.01,0.00,0.00
135828,10.10,-0.02,-5.45,-0.19,0.06,-0.02,50.21,73.31,29.37,46.93,0.00,0.00
136996,9.81,0.32,-5.07,-0.18,0.01,0.05,50.11,75.59,29.37,47.19,0.00,0.00
138165,9.66,0.56,-3.32,-0.04,0.07,-0.02,52.05,77.05,29.15,50.63,51.75,0.00
138836,9.66,0.83,-3.59,-0.77,0.05,-0.09,52.75,79.79,29.19,47.57,52.00,0.00
140004,9.02,0.07,-5.30,-1.13,0.20,0.14,52.69,89.99,29.23,48.23,53.00,0.00
141171,8.68,0.15,-7.06,-1.01,-0.08,0.38,53.01,89.95,29.37,50.27,0.00,0.00
141836,8.36,0.31,-7.06,-0.55,0.09,0.12,52.49,94.19,29.29,52.81,0.00,0.00
143004,7.92,0.10,-6.41,0.00,-0.03,0.26,52.33,95.97,29.11,50.27,0.00,0.00
144173,8.18,0.07,-7.27,-0.09,-0.15,0.18,52.85,84.15,29.17,53.45,0.00,0.00
145353,7.92,0.02,-5.92,-0.96,-0.25,0.35,54.21,83.35,29.17,51.55,0.00,0.00
146025,7.98,0.00,-5.41,-1.40,-0.07,0.45,53.21,85.01,29.15,55.13,0.00,0.00
147199,7.65,0.43,-5.48,-1.05,-0.15,0.32,55.07,83.69,29.19,52.59,0.00,0.00
148367,7.75,0.96,-6.07,-0.15,0.17,-0.21,54.01,98.95,29.11,54.81,55.50,0.00
149031,7.85,1.12,-6.22,-0.10,-0.12,0.09,54.39,86.57,29.29,54.45,0.00,0.00
150200,7.84,0.86,-6.56,0.14,-0.05,-0.05,56.01,87.99,29.11,56.97,0.00,0.00
151368,8.76,0.27,-7.18,-1.47,-0.15,0.48,55.35,89.87,29.09,56.37,54.75,0.00
152033,8.81,0.46,-6.51,-0.99,-0.14,0.47,56.85,85.97,29.15,54.17,0.00,0.00
153208,8.47,0.35,-5.45,-1.03,-0.08,0.46,56.93,104.97,29.29,54.31,0.00,0.00
154376,9.01,0.62,-4.94,-0.07,0.11,0.21,57.37,90.75,29.29,58.89,nan,0.00
155040,9.04,0.10,-5.35,-0.00,0.03,-0.02,57.49,109.25,29.31,56.33,0.00,0.00
156209,8.71,-0.48,-5.01,-0.80,-0.02,0.18,56.43,93.43,29.09,61.09,0.00,0.00
157377,8.11,0.00,-6.10,-1.27,-0.11,0.27,56.71,106.31,29.09,60.17,nan,0.00
158546,8.48,0.67,-7.24,-0.49,0.06,0.15,58.31,108.13,29.17,60.85,0.00,0.00
159210,8.39,1.07,-6.27,-0.70,0.03,0.20,57.95,110.01,29.17,62.95,0.00,0.00
160386,7.89,0.91,-7.47,-0.24,0.05,-0.24,59.33,113.73,29.23,63.17,0.00,0.00
161553,8.83,0.84,-7.26,-0.17,-0.16,0.18,58.71,95.61,29.17,60.13,0.00,0.00
162218,8.96,0.82,-7.75,-1.20,-0.15,0.34,60.59,96.09,29.11,63.11,0.00,0.00
163491,9.81,0.66,-8.42,-1.46,-0.49,0.57,59.69,96.65,29.29,64.01,0.00,0.00
164156,9.77,0.65,-8.03,-0.84,-0.28,0.37,60.61,102.49,29.29,63.51,0.00,0.00
165323,10.10,0.90,-9.05,0.10,0.08,-0.01,60.73,125.07,29.19,60.89,0.00,0.00
166491,10.19,0.15,-6.99,0.15,-0.17,0.09,60.61,104.01,29.11,66.77,0.00,0.00
167665,9.76,0.07,-8.09,-0.88,-0.25,0.31,61.43,126.27,29.11,61.71,0.00,0.00
168330,9.36,0.09,-7.68,-1.17,-0.20,0.31,61.85,116.29,29.03,63.27,0.00,0.00
169498,8.75,0.67,-5.90,-1.38,-0.38,0.54,62.59,113.39,29.19,64.05,0.00,0.00
170667,8.92,0.01,-6.17,0.02,-0.25,0.02,61.07,125.55,29.23,66.63,0.00,0.00
171331,8.88,-0.38,-5.59,-0.20,0.05,-0.07,62.53,130.93,29.15,68.77,0.00,0.00
172499,8.82,-0.30,-6.31,-0.14,0.15,-0.04,62.73,129.47,29.15,64.87,60.75,0.00
173673,8.72,-0.11,-6.33,0.06,0.05,-0.01,63.61,110.77,29.29,65.51,61.00,0.00
174338,8.90,0.31,-5.94,-0.28,-0.06,0.04,61.79,117.31,29.29,68.87,0.00,0.00
175506,9.10,0.43,-6.52,-0.98,-0.09,0.32,62.89,136.55,29.31,67.73,0.00,0.00
176675,9.08,0.17,-6.23,-1.10,-0.27,0.33,63.31,128.49,29.37,65.23,0.00,0.00
177843,9.33,0.75,-7.16,-0.37,0.03,0.14,63.11,109.19,29.37,67.15,0.00,0.00
178508,9.40,0.50,-7.59,-0.06,0.02,0.16,63.95,128.59,29.17,71.95,0.00,0.00
179675,10.02,0.70,-6.82,-0.20,-0.06,0.04,64.07,131.55,29.17,72.37,0.00,0.00
180850,9.94,0.73,-5.47,0.04,-0.01,0.08,63.25,110.71,29.19,66.07,0.00,0.00
181514,10.16,0.88,-4.53,-0.04,-0.17,0.01,63.63,121.01,29.31,72.09,0.00,0.00
182683,10.73,0.80,-3.56,-0.73,-0.19,0.12,64.49,126.43,29.25,72.81,0.00,0.00
183851,10.45,0.15,-3.47,-0.89,-0.14,0.33,63.23,112.49,29.17,73.87,0.00,0.00
184517,10.12,0.23,-3.97,-1.04,-0.07,0.26,63.27,134.85,29.11,71.87,0.00,0.00
185741,9.87,0.24,-4.75,-0.37,-0.05,-0.00,64.39,134.83,29.19,67.47,0.00,0.00
186921,10.42,0.04,-5.06,-0.15,-0.01,-0.04,64.67,134.99,29.23,68.43,0.00,0.00
187600,10.29,-0.15,-5.18,-0.12,-0.01,0.05,63.81,126.75,29.19,74.31,0.00,0.00
188769,9.72,0.30,-5.28,-0.05,0.06,0.01,64.31,107.21,29.15,71.59,0.00,0.00
189937,9.78,0.70,-4.50,-0.07,0.07,0.03,63.75,115.33,29.11,74.25,0.00,0.00
190603,10.09,0.81,-3.85,0.05,0.03,0.05,63.75,115.67,29.11,73.55,0.00,0.00
191769,9.98,0.92,-3.51,-0.47,-0.19,0.13,65.69,132.95,29.17,75.09,0.00,0.00
192937,9.66,0.86,-4.66,-0.94,-0.09,0.27,66.21,120.89,29.29,74.53,0.00,0.00
193601,9.74,0.89,-5.02,-0.92,-0.12,0.26,63.87,136.05,29.37,74.39,0.00,0.00
194777,9.46,0.41,-5.79,-0.80,-0.07,0.17,66.25,118.55,29.39,76.41,0.00,0.00
195945,9.74,0.20,-6.27,-0.20,-0.00,0.09,66.99,117.95,29.37,76.95,0.00,0.00
197114,9.72,0.25,-5.96,-0.22,0.04,0.05,66.41,109.59,29.31,76.35,0.00,0.00
197779,9.66,0.06,-5.74,0.01,0.05,-0.02,65.65,133.15,29.35,71.93,0.00,0.00
198946,10.10,0.22,-4.55,-0.25,0.01,0.05,66.85,136.59,29.37,72.19,0.00,0.00
200113,10.52,0.30,-3.86,-0.09,0.08,-0.03,67.23,106.89,29.43,75.47,0.00,0.00
200778,10.29,0.22,-3.64,-0.03,0.02,-0.01,65.05,139.21,29.39,74.99,0.00,0.00
201952,10.77,0.72,-3.06,-0.03,0.02,0.05,65.75,114.91,29.37,75.87,0.00,0.00
203119,10.51,1.20,-3.04,-0.09,0.08,-0.03,65.33,130.05,29.37,73.77,0.00,0.00
203783,10.44,1.50,-3.58,-0.16,0.07,-0.00,65.03,135.67,29.29,76.33,0.00,0.00
204949,10.11,0.90,-4.56,-1.00,-0.05,0.35,66.23,133.35,29.17,77.93,0.00,0.00
206115,9.88,0.82,-4.99,-0.75,-0.07,0.46,65.05,134.01,29.09,73.75,0.00,0.00
207282,9.56,0.51,-5.63,-0.64,-0.00,0.16,65.51,126.33,29.23,77.91,0.00,0.00
207955,9.59,0.14,-5.45,-0.55,-0.02,0.07,65.61,135.17,29.31,75.83,0.00,0.00
209123,9.93,-0.03,-5.48,-0.38,-0.01,0.12,66.09,131.73,29.31,79.59,0.00,0.00
210290,9.91,-0.16,-4.94,-0.18,-0.03,0.03,66.41,114.95,29.29,74.37,0.00,0.00
210954,9.87,0.24,-4.46,-0.25,0.07,0.02,66.33,111.17,29.29,75.61,0.00,0.00
212121,9.93,0.35,-3.95,-0.09,0.04,0.02,65.61,133.81,29.29,75.25,0.00,0.00
213288,10.44,0.85,-3.15,-0.04,-0.05,0.05,65.61,135.49,29.19,76.77,0.00,0.00
213951,10.08,1.15,-3.21,-0.01,-0.03,0.05,65.39,134.25,29.31,76.63,0.00,0.00
215127,10.10,0.87,-3.02,-0.11,0.04,0.01,65.47,132.15,29.31,76.61,0.00,0.00
216295,9.90,0.82,-3.28,-0.02,0.04,0.03,65.45,130.25,29.19,76.61,0.00,0.00
